"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectmatplotlib:typeissue_post:author_groupmember"	0.0753735546354867	0.0116900852792101	440983.741605466	6.44764797135677	0.000000000113715897264317
"projectmayavi:typeissue_post:author_groupmember"	-0.0112286962751354	0.0557125924310278	273714.661597936	-0.201546827838546	0.840271167033991
"projectnumpy:typeissue_post:author_groupmember"	0.0340471977791243	0.0108629252950896	468402.019794742	3.13425682808615	0.00172300619949719
"projectpandas:typeissue_post:author_groupmember"	0.0932309105959416	0.00686059046729041	201354.391821406	13.5893420603436	0.00000000000000000000000000000000000000000483469336476982
"projectscikit-image:typeissue_post:author_groupmember"	0.0407199045115652	0.0196972071872818	504181.507834834	2.06729330327893	0.0387070339792235
"projectscikit-learn:typeissue_post:author_groupmember"	0.0770844593710336	0.0101340209434849	423791.333420422	7.60650286800431	0.0000000000000282187730386424
"projectscipy:typeissue_post:author_groupmember"	0.0122171796619137	0.0154715729231382	505891.98899915	0.789653367670361	0.429730602046613
"projectsphinx-gallery:typeissue_post:author_groupmember"	0.0705287615320399	0.0469199411369296	495407.588483369	1.50317242142762	0.132795224696803
"projectmatplotlib:typepr_post:author_groupmember"	0.0808244241563104	0.00789376008426802	250911.686650483	10.2390271928065	0.00000000000000000000000134049655480033
"projectmayavi:typepr_post:author_groupmember"	-0.0120979303539246	0.0420559127316117	133062.927753047	-0.287663007842203	0.773605157045649
"projectnumpy:typepr_post:author_groupmember"	0.0525251299813838	0.00817859845818078	359694.866305376	6.42226541013818	0.000000000134427521418343
"projectpandas:typepr_post:author_groupmember"	0.0498974809168195	0.00677118809720396	191056.906134195	7.36908799467906	0.0000000000001724876152231
"projectscikit-image:typepr_post:author_groupmember"	0.106293434907994	0.0134454500949974	445810.265261428	7.90553192023987	0.00000000000000267395455736203
"projectscikit-learn:typepr_post:author_groupmember"	0.099444888517482	0.00863765303426358	339611.410657194	11.5129524331444	0.00000000000000000000000000000115023804446622
"projectscipy:typepr_post:author_groupmember"	0.0616313351245891	0.00933391956709035	414422.780857885	6.60294259893664	0.000000000040355910045347
"projectsphinx-gallery:typepr_post:author_groupmember"	0.0873399124218061	0.0347134552052112	500041.351479521	2.51602474906314	0.0118689953385195
"projectmatplotlib:typeissue_reply:author_groupmember"	0.167534059027142	0.00623078196940924	135721.715544453	26.8881273409454	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000791311246167179
"projectmayavi:typeissue_reply:author_groupmember"	0.110975404158335	0.034415662399005	64237.7454170361	3.22456104060177	0.00126228993282312
"projectnumpy:typeissue_reply:author_groupmember"	0.144735493286644	0.00555375960843246	146627.734593332	26.0608134833361	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000222740045338806
"projectpandas:typeissue_reply:author_groupmember"	0.173430194451043	0.00494944081336184	71908.1681761468	35.0403613238165	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000982049722747795
"projectscikit-image:typeissue_reply:author_groupmember"	0.196881562332598	0.00975950316571638	280397.874264009	20.1733181484291	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000194824091107452
"projectscikit-learn:typeissue_reply:author_groupmember"	0.173232742114953	0.0054706639967747	104486.197931189	31.6657616364457	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000504840098611934
"projectscipy:typeissue_reply:author_groupmember"	0.163552404838808	0.00616038662718805	189122.400691049	26.5490487426538	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000508078848606581
