"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectmatplotlib:typeissue_post:author_groupmember"	0.0685420047795209	0.0111686295933906	416373.022263517	6.13701118891818	0.000000000841638743406922
"projectmayavi:typeissue_post:author_groupmember"	-0.0353247809295971	0.0540236865032254	241650.250154355	-0.653875794416365	0.513192452049723
"projectnumpy:typeissue_post:author_groupmember"	0.0271366752244246	0.0105250080140725	447183.638892325	2.57830447142096	0.00992896395759595
"projectpandas:typeissue_post:author_groupmember"	0.0929796089462264	0.00657308882375821	161366.185294947	14.1454971078673	0.00000000000000000000000000000000000000000000211966337724003
"projectscikit-image:typeissue_post:author_groupmember"	0.0241800501991923	0.0191338720714231	499538.656048278	1.26373010695027	0.206327504806951
"projectscikit-learn:typeissue_post:author_groupmember"	0.0760603182455741	0.00987446299085599	387598.832374044	7.70272958803005	0.0000000000000133502891635153
"projectscipy:typeissue_post:author_groupmember"	0.0215402834360409	0.0149551821605746	501237.548772782	1.44032237152057	0.149776839500141
"projectsphinx-gallery:typeissue_post:author_groupmember"	0.0773453196425126	0.0430082900203895	496025.653100999	1.79838165167331	0.0721171561461032
"projectmatplotlib:typeissue_reply:author_groupmember"	0.162080801891905	0.00603063864431209	112030.420785376	26.8762251316077	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000133223272961082
"projectmayavi:typeissue_reply:author_groupmember"	0.0850171170994819	0.0341836231031283	54243.1162695932	2.48707156766251	0.0128829307177955
"projectnumpy:typeissue_reply:author_groupmember"	0.144386685032838	0.00543351113853372	121155.373051601	26.5733668987751	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000385554060880217
"projectpandas:typeissue_reply:author_groupmember"	0.173126886640614	0.00474496385333186	54691.2014804746	36.4864500535754	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000533671724500387
"projectscikit-image:typeissue_reply:author_groupmember"	0.187269333626995	0.00956346066473183	251084.046929273	19.5817539478787	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000256309840045505
"projectscikit-learn:typeissue_reply:author_groupmember"	0.176270630788427	0.00537632221835623	82212.7278651362	32.7864706818707	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030096611021204
"projectscipy:typeissue_reply:author_groupmember"	0.163385872484064	0.00606247398266475	160757.363309255	26.95036266568	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000128279205648549
"projectsphinx-gallery:typeissue_reply:author_groupmember"	0.241768469883781	0.0162330303050878	502667.724423557	14.8936129200723	0.0000000000000000000000000000000000000000000000000371695142386696
"projectmatplotlib:typepr_post:author_groupmember"	0.0760800728285067	0.00770235515499134	220697.319832585	9.87750776192198	0.0000000000000000000000526892331297107
"projectmayavi:typepr_post:author_groupmember"	-0.0305966431074375	0.0415529710391297	111914.969210242	-0.736328650931485	0.46153225743815
"projectnumpy:typepr_post:author_groupmember"	0.0535272021617494	0.00800035247224297	325356.316901972	6.69060548862825	0.0000000000222606681766462
"projectpandas:typepr_post:author_groupmember"	0.0504390696544378	0.0065413549523452	156249.710852147	7.71079845412677	0.0000000000000125765756258338
"projectscikit-image:typepr_post:author_groupmember"	0.0996198105239439	0.0130788342666406	419969.974735695	7.61687230627563	0.0000000000000260435284614758
"projectscikit-learn:typepr_post:author_groupmember"	0.100305323073546	0.00832816939014572	286392.723471799	12.0441021759514	0.00000000000000000000000000000000212246687686675
"projectscipy:typepr_post:author_groupmember"	0.0611225063861135	0.00907055644306714	380136.994668788	6.73856193605752	0.0000000000160188390406075
"projectsphinx-gallery:typepr_post:author_groupmember"	0.0935369803296441	0.0333420057404531	499414.085648425	2.80537952808753	0.00502593071161337
"projectmatplotlib:typepr_reply:author_groupmember"	0.186660653834644	0.00582079803265991	98204.6534814747	32.0678801750739	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000180150077753334
"projectmayavi:typepr_reply:author_groupmember"	0.0945894032205303	0.0359170248522372	64938.1565034629	2.63355340843713	0.00845165660658108
"projectnumpy:typepr_reply:author_groupmember"	0.21633111356505	0.00528490896535397	108802.549781142	40.9337445513711	0
"projectpandas:typepr_reply:author_groupmember"	0.198937415618862	0.00476333933275635	54856.2914182641	41.7642753794207	0
"projectscikit-image:typepr_reply:author_groupmember"	0.238512831154765	0.00851187255867045	180472.728746109	28.0211938690047	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210579875150202
"projectscikit-learn:typepr_reply:author_groupmember"	0.223311099787416	0.00505340473894534	64460.5199133455	44.1902264559204	0
"projectscipy:typepr_reply:author_groupmember"	0.237220106012042	0.00550415910892494	115943.128835208	43.0983373331981	0
"projectsphinx-gallery:typepr_reply:author_groupmember"	0.216744822151499	0.0124317111847119	474236.123730652	17.434834105384	0.0000000000000000000000000000000000000000000000000000000000000000000471406424047781
"projectmatplotlib:typeissue_post:author_groupnonmember"	0.0813523955648286	0.00797714089817896	222491.441764527	10.1981896274892	0.0000000000000000000000020451955576954
"projectmayavi:typeissue_post:author_groupnonmember"	0.0567865901307615	0.0230598899805166	228910.745292263	2.46256986389531	0.0137952603653089
"projectnumpy:typeissue_post:author_groupnonmember"	0.0258860305156352	0.00867424412879266	260514.4336918	2.9842404861204	0.00284309598938339
"projectpandas:typeissue_post:author_groupnonmember"	0.102103218929898	0.00566210068901875	147420.773938929	18.0327451837654	0.00000000000000000000000000000000000000000000000000000000000000000000000129085069869605
"projectscikit-image:typeissue_post:author_groupnonmember"	0.0580367482137032	0.0172377839211725	283354.652199578	3.36683349084212	0.000760466869952025
"projectscikit-learn:typeissue_post:author_groupnonmember"	0.0851095756764764	0.00800948390088906	218443.503977229	10.6260998498329	0.0000000000000000000000000228709905362058
"projectscipy:typeissue_post:author_groupnonmember"	0.0755782512452625	0.00966309698247968	253309.192072131	7.82132802581767	0.00000000000000524686007701244
"projectsphinx-gallery:typeissue_post:author_groupnonmember"	0.0426826264924518	0.0429214376477758	498994.756842088	0.994436086757304	0.320011088991174
"projectmatplotlib:typeissue_reply:author_groupnonmember"	0.178103490985589	0.00549030639357815	69492.6010536147	32.4396269020452	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000039463080011187
"projectmayavi:typeissue_reply:author_groupnonmember"	0.138157466768015	0.0161475183191314	108562.100650712	8.5559566515139	0.0000000000000000118385709989681
"projectnumpy:typeissue_reply:author_groupnonmember"	0.164615197180719	0.00581288009520918	80675.0754067149	28.3190422792981	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000146610860353652
"projectpandas:typeissue_reply:author_groupnonmember"	0.207591617484578	0.00412243573645081	50908.1712489932	50.3565442267642	0
"projectscikit-image:typeissue_reply:author_groupnonmember"	0.206633434709497	0.0110768583194395	111052.664461775	18.6545163574822	0.0000000000000000000000000000000000000000000000000000000000000000000000000000152567391527598
"projectscikit-learn:typeissue_reply:author_groupnonmember"	0.202382899626054	0.00483321459434571	57741.2288457834	41.8733527501176	0
"projectscipy:typeissue_reply:author_groupnonmember"	0.214518614685301	0.00667919212160495	109325.03804242	32.1174493531044	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000283755969901929
"projectsphinx-gallery:typeissue_reply:author_groupnonmember"	0.253005026627131	0.02725805125999	316088.968912251	9.28184572748592	0.0000000000000000000167570938854547
"projectmatplotlib:typepr_post:author_groupnonmember"	0.0881705451018079	0.0105060029815253	266960.3593031	8.39239673326336	0.0000000000000000478610641223821
"projectmayavi:typepr_post:author_groupnonmember"	0.00163143885740448	0.0460259724597019	366073.001717911	0.0354460486159827	0.971724085604167
"projectnumpy:typepr_post:author_groupnonmember"	0.0565963465211789	0.011010655764005	305209.945972761	5.14014312446297	0.000000274698001845009
"projectpandas:typepr_post:author_groupnonmember"	0.099027058353875	0.00800610256114523	205495.763652669	12.3689470123038	0.0000000000000000000000000000000000396090302991665
"projectscikit-image:typepr_post:author_groupnonmember"	0.250968186178721	0.0169463543841834	333265.476374088	14.8095679158556	0.000000000000000000000000000000000000000000000000131763960766903
"projectscikit-learn:typepr_post:author_groupnonmember"	0.100437488706595	0.0081194038195221	213792.275794583	12.3700570804356	0.000000000000000000000000000000000039022136163512
"projectscipy:typepr_post:author_groupnonmember"	0.117822270822076	0.0112635384162975	312438.630832545	10.460502416505	0.000000000000000000000000132443724773217
"projectsphinx-gallery:typepr_post:author_groupnonmember"	0.201035494552326	0.0571477219698509	497905.76687826	3.51782166677415	0.00043514339431614
"projectmatplotlib:typepr_reply:author_groupnonmember"	0.203086552534267	0.00739346214201378	86622.0096731126	27.4683968935495	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000215515037072171
"projectmayavi:typepr_reply:author_groupnonmember"	0.19911903711257	0.0353174134655281	191203.366066736	5.63798470992	0.0000000172293346235693
"projectnumpy:typepr_reply:author_groupnonmember"	0.211938311462084	0.00746401021123174	107790.255995837	28.394697416566	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105786632885026
"projectpandas:typepr_reply:author_groupnonmember"	0.188456493784107	0.00579313090488735	60183.0792925422	32.5310262927283	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000389180565108001
"projectscikit-image:typepr_reply:author_groupnonmember"	0.238636500859801	0.0100742372315982	96397.9848649394	23.6877984281836	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108960547977275
"projectscikit-learn:typepr_reply:author_groupnonmember"	0.229442024311369	0.00523820929011897	48358.4026220663	43.8016145601846	0
"projectscipy:typepr_reply:author_groupnonmember"	0.256490213470782	0.00723775423233712	112338.925398816	35.4378174827801	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000146417053506998
"projectsphinx-gallery:typepr_reply:author_groupnonmember"	0.212602619201398	0.0279933869037749	444783.95650808	7.59474442775371	0.0000000000000308997580483803
