"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectpandas:typeissue_post:author_groupmember:year2010"	0.0883414917551608	0.124639980350899	491823.867311559	0.708773312595631	0.478465497382752
"projectscikit-learn:typeissue_post:author_groupmember:year2010"	-0.0213798120190916	0.185007799873521	491370.395554711	-0.115561679203297	0.907999982153487
"projectnumpy:typepr_post:author_groupmember:year2010"	0.209792265594481	0.169551420015758	492531.339564173	1.2373371191759	0.215962542654129
"projectscikit-learn:typepr_post:author_groupmember:year2010"	-0.645479812019092	0.291784129013307	490929.333970327	-2.21218273317962	0.026954499990601
"projectpandas:typeissue_reply:author_groupmember:year2010"	0.0797369463006153	0.0785401129791867	493561.688937392	1.01523849757825	0.309992651222012
"projectscikit-learn:typeissue_reply:author_groupmember:year2010"	-0.0213798120190917	0.291784129013307	490929.333919323	-0.0732727036641417	0.941589142469167
"projectnumpy:typepr_reply:author_groupmember:year2010"	0.277971510724586	0.0676734665901424	497106.558883397	4.10754058762931	0.0000399958425098762
"projectscikit-learn:typepr_reply:author_groupmember:year2010"	0.232974733435454	0.0894509643312558	493693.062824445	2.60449661082131	0.00920120872156679
"projectpandas:typeissue_post:author_groupnonmember:year2010"	-0.0330233936049201	0.115450941908485	258939.703892142	-0.286038321203971	0.774848999904377
"projectscikit-learn:typeissue_post:author_groupnonmember:year2010"	-0.0159183274677385	0.146638596913247	495875.766652468	-0.10855482664742	0.913555635965768
"projectnumpy:typepr_post:author_groupnonmember:year2010"	0.142377594465674	0.0851866743031381	505323.422215104	1.67135993546386	0.0946512236731707
"projectscikit-learn:typepr_post:author_groupnonmember:year2010"	0.131303273429183	0.0911793519880947	505547.845572801	1.44005490899219	0.149852484069558
"projectpandas:typeissue_reply:author_groupnonmember:year2010"	0.103824513029317	0.157465803708341	80083.0340789358	0.659346414168889	0.509675239791772
"projectscikit-learn:typeissue_reply:author_groupnonmember:year2010"	-0.176556349750388	0.184794283581626	491853.428754845	-0.955421057017713	0.339365279139399
"projectnumpy:typepr_reply:author_groupnonmember:year2010"	0.0798744402318615	0.0564132331447127	495883.959295192	1.41588127074662	0.156810897512391
"projectscikit-learn:typepr_reply:author_groupnonmember:year2010"	0.24965872840655	0.0399545170095564	500536.628312182	6.24857330516188	0.000000000414550305677874
"projectmatplotlib:typeissue_post:author_groupmember:year2011"	0.144033922339694	0.043496504417548	344947.536231252	3.31139074894455	0.000928430087123012
"projectpandas:typeissue_post:author_groupmember:year2011"	0.0299417187926225	0.0242625972419206	507637.204901255	1.23406898668249	0.217177770139979
"projectscikit-image:typeissue_post:author_groupmember:year2011"	0.116925485686937	0.184330757996397	491031.861944165	0.634324336089489	0.525869473094826
"projectscikit-learn:typeissue_post:author_groupmember:year2011"	0.0745092885629799	0.0415843313735029	499075.044775666	1.79176353453302	0.0731714579547104
"projectmatplotlib:typepr_post:author_groupmember:year2011"	0.0184116553686572	0.0308639582192775	505494.731242825	0.596542259351472	0.550813298622267
"projectnumpy:typepr_post:author_groupmember:year2011"	0.131819843596292	0.0518581230379573	501769.760166823	2.54193240854104	0.0110244470430534
"projectpandas:typepr_post:author_groupmember:year2011"	0.111864666861728	0.083673249908227	497007.518635829	1.33692269613553	0.181248483451504
"projectscikit-image:typepr_post:author_groupmember:year2011"	0.0383581625158045	0.0616020947278838	502589.528936788	0.62267626913086	0.533497562805225
"projectscikit-learn:typepr_post:author_groupmember:year2011"	0.286067885218264	0.0315012198344384	502914.832034904	9.0811684982917	0.00000000000000000010778789288551
"projectscipy:typepr_post:author_groupmember:year2011"	0.127017588071116	0.074285102077072	492827.686686737	1.70986623858083	0.0872912402776656
"projectmatplotlib:typeissue_reply:author_groupmember:year2011"	0.0835425828066518	0.02493705518598	507694.671439391	3.35013826546852	0.000807771116918104
"projectpandas:typeissue_reply:author_groupmember:year2011"	0.201806772341505	0.0208743196238845	503452.690166597	9.6677053900524	0.000000000000000000000415382049159494
"projectscikit-image:typeissue_reply:author_groupmember:year2011"	0.19583215593099	0.0599055910998006	494944.593882538	3.26901299754711	0.00107930704217432
"projectscikit-learn:typeissue_reply:author_groupmember:year2011"	0.199202555835479	0.0169002312373985	500502.241419183	11.7869722039462	0.0000000000000000000000000000000460105340858951
"projectmatplotlib:typepr_reply:author_groupmember:year2011"	0.209697995609033	0.02051070058357	501665.603030959	10.2238338839099	0.00000000000000000000000155945919611822
"projectnumpy:typepr_reply:author_groupmember:year2011"	0.221449655640996	0.0204312436004258	504555.101822796	10.8387751608219	0.00000000000000000000000000227042654879467
"projectpandas:typepr_reply:author_groupmember:year2011"	0.314463738929141	0.0394920872842977	501546.514099592	7.96270241847091	0.00000000000000168670127239946
"projectscikit-image:typepr_reply:author_groupmember:year2011"	0.259674789711049	0.0375265710229695	505030.7612177	6.91975799100071	0.00000000000452950874117239
"projectscikit-learn:typepr_reply:author_groupmember:year2011"	0.276750840573351	0.00976161387678146	331489.448180141	28.3509309082198	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132750787721241
"projectscipy:typepr_reply:author_groupmember:year2011"	0.260093121763898	0.0246553782702147	505079.837411959	10.5491434328593	0.0000000000000000000000000515830950959511
"projectmatplotlib:typeissue_post:author_groupnonmember:year2011"	0.00445090823985511	0.0467541089820411	394957.584004795	0.095198226140183	0.924157427220342
"projectmayavi:typeissue_post:author_groupnonmember:year2011"	-0.00428851040520698	0.097816961519782	383592.209981714	-0.043842196062691	0.96503021462921
"projectpandas:typeissue_post:author_groupnonmember:year2011"	0.0911759342496897	0.0398778061717875	335520.667592854	2.28638290323489	0.0222324877718262
"projectscikit-image:typeissue_post:author_groupnonmember:year2011"	0.0969599457758413	0.168415703003804	491645.425144472	0.575717964812649	0.564806094033739
"projectscikit-learn:typeissue_post:author_groupnonmember:year2011"	0.0658182227775656	0.0506467214383416	361249.99277512	1.2995554481783	0.193754206927568
"projectmatplotlib:typepr_post:author_groupnonmember:year2011"	0.0929298824332961	0.0385786067559881	500722.815994332	2.40884495961928	0.0160034534241498
"projectmayavi:typepr_post:author_groupnonmember:year2011"	-0.177535867182047	0.244417266393393	432866.584326961	-0.726363852283252	0.467616137718815
"projectnumpy:typepr_post:author_groupnonmember:year2011"	0.133283257980405	0.0472535727246248	455898.857591792	2.82059641833067	0.00479365356671004
"projectpandas:typepr_post:author_groupnonmember:year2011"	0.18337210573641	0.0641767360779098	490587.316029322	2.85729871824267	0.00427281489482458
"projectscikit-image:typepr_post:author_groupnonmember:year2011"	0.177739715829157	0.0612822064074933	441922.14314862	2.90034785378458	0.00372767113195155
"projectscikit-learn:typepr_post:author_groupnonmember:year2011"	0.158635533615925	0.0372082990511254	451471.688296465	4.26344492119768	0.0000201339944565582
"projectscipy:typepr_post:author_groupnonmember:year2011"	0.186361202770385	0.0436968456871305	498185.212957526	4.26486625841901	0.0000200058772071256
"projectmatplotlib:typeissue_reply:author_groupnonmember:year2011"	0.197744217456205	0.0357923599588591	414740.433388098	5.52476052664587	0.0000000330132638576625
"projectmayavi:typeissue_reply:author_groupnonmember:year2011"	0.0412226168067792	0.0657259637003238	310890.46340693	0.627189233690553	0.530535660287576
"projectpandas:typeissue_reply:author_groupnonmember:year2011"	0.218329241287579	0.0348582344676244	202244.274181383	6.26334766008758	0.000000000377552870877381
"projectscikit-image:typeissue_reply:author_groupnonmember:year2011"	0.156449734696949	0.0985837455158316	499257.783472476	1.58697292214186	0.112519410773727
"projectscikit-learn:typeissue_reply:author_groupnonmember:year2011"	0.215839598935972	0.0338095816573199	125275.668612886	6.38397721461432	0.000000000173147402587285
"projectmatplotlib:typepr_reply:author_groupnonmember:year2011"	0.257044676686889	0.0330963345881667	426519.139641931	7.76656025162353	0.00000000000000808240549550785
"projectmayavi:typepr_reply:author_groupnonmember:year2011"	0.396258970878105	0.144027400444906	272968.387754868	2.75127489390245	0.00593677177004441
