"model" "t_stats" "p_value" "p_val_adjusted"
"member-nonmember" "Main Terms" -4.0493092332505 0.0000513690314107862 0.0000841260949191136
"issue_post-issue_reply" "Main Terms" -1.6216417437851 0.104880079118844 0.131682766004771
"pr_post-pr_reply" "Main Terms" -6.92354484374102 0.00000000000440469882789785 0.0000000000110606881678324
"issue_post-pr_post" "Main Terms" 2.33559627641934 0.0195122928421219 0.0268888913556069
"issue_reply-pr_reply" "Main Terms" -2.96543865419134 0.00302251619404714 0.00449400434114904
"issue_post:member-issue_post:nonmember" "2W: Types x Author Groups" -4.9672682839578 0.000000679026187500043 0.00000125786818340172
"issue_reply:member-issue_reply:nonmember" "2W: Types x Author Groups" -8.18742952106139 0.000000000000000222044604925031 0.000000000000000597405722774489
"pr_post:member-pr_post:nonmember" "2W: Types x Author Groups" -0.931925423873425 0.351375067558232 0.395319266171582
"pr_reply:member-pr_reply:nonmember" "2W: Types x Author Groups" -2.93923348000242 0.00329025113030146 0.00482855036005279
"issue_post:member-issue_reply:member" "2W: Types x Author Groups" -2.7106487842908 0.00671517136385802 0.0097283892835379
"issue_post:nonmember-issue_reply:nonmember" "2W: Types x Author Groups" -5.79863054541221 0.00000000668586452867714 0.0000000145288979180869
"pr_post:member-pr_reply:member" "2W: Types x Author Groups" -8.24323437944902 0.000000000000000222044604925031 0.000000000000000597405722774489
"pr_post:nonmember-pr_reply:nonmember" "2W: Types x Author Groups" -10.108355991641 0 0
"issue_post:member-pr_post:member" "2W: Types x Author Groups" 0.260645311024455 0.794366043926774 0.831142249664124
"issue_post:nonmember-pr_post:nonmember" "2W: Types x Author Groups" 4.29355593629991 0.0000175833988627083 0.0000296555831565081
"issue_reply:member-pr_reply:member" "2W: Types x Author Groups" -5.28660289102802 0.000000124608740659227 0.000000239438371228013
"issue_reply:nonmember-pr_reply:nonmember" "2W: Types x Author Groups" -0.0212952217415816 0.98301015547399 0.991787031862151
"scikit.learn:issue_post:member-scikit.learn:issue_post:nonmember" "3W: Types x Author Groups x Project" -14.47898485169 0 0
"scikit.learn:issue_reply:member-scikit.learn:issue_reply:nonmember" "3W: Types x Author Groups x Project" -27.8005656720153 0 0
"scikit.learn:pr_post:member-scikit.learn:pr_post:nonmember" "3W: Types x Author Groups x Project" -1.38805434519591 0.165120497280525 0.194360585340618
"scikit.learn:pr_reply:member-scikit.learn:pr_reply:nonmember" "3W: Types x Author Groups x Project" -10.8631252845162 0 0
"scikit.learn:issue_post:member-scikit.learn:issue_reply:member" "3W: Types x Author Groups x Project" -9.15872145644984 0 0
"scikit.learn:issue_post:nonmember-scikit.learn:issue_reply:nonmember" "3W: Types x Author Groups x Project" -5.62711978954705 0.000000018324348038945 0.0000000390688929886941
"scikit.learn:pr_post:member-scikit.learn:pr_reply:member" "3W: Types x Author Groups x Project" -21.4812873766936 0 0
"scikit.learn:pr_post:nonmember-scikit.learn:pr_reply:nonmember" "3W: Types x Author Groups x Project" -23.3819666512582 0 0
"scikit.learn:issue_post:member-scikit.learn:pr_post:member" "3W: Types x Author Groups x Project" -1.41079201427378 0.1583059498599 0.188300761412302
"scikit.learn:issue_post:nonmember-scikit.learn:pr_post:nonmember" "3W: Types x Author Groups x Project" 13.2491901971895 0 0
"scikit.learn:issue_reply:member-scikit.learn:pr_reply:member" "3W: Types x Author Groups x Project" -30.207043716048 0 0
"scikit.learn:issue_reply:nonmember-scikit.learn:pr_reply:nonmember" "3W: Types x Author Groups x Project" -0.928133239929454 0.353338459144511 0.395319266171582
"scikit.image:issue_post:member-scikit.image:issue_post:nonmember" "3W: Types x Author Groups x Project" -5.42453327447196 0.0000000581061656568238 0.000000117249941414662
"scikit.image:issue_reply:member-scikit.image:issue_reply:nonmember" "3W: Types x Author Groups x Project" -10.0593471440588 0 0
"scikit.image:pr_post:member-scikit.image:pr_post:nonmember" "3W: Types x Author Groups x Project" -1.50662022577063 0.131908030034521 0.158570291424477
"scikit.image:pr_reply:member-scikit.image:pr_reply:nonmember" "3W: Types x Author Groups x Project" -9.19485817302374 0 0
"scikit.image:issue_post:member-scikit.image:issue_reply:member" "3W: Types x Author Groups x Project" -5.56310067250302 0.0000000265022894740952 0.0000000554584946402362
"scikit.image:issue_post:nonmember-scikit.image:issue_reply:nonmember" "3W: Types x Author Groups x Project" -4.52269412420451 0.00000610574444670497 0.0000106146018842717
"scikit.image:pr_post:member-scikit.image:pr_reply:member" "3W: Types x Author Groups x Project" -18.5138175878263 0 0
"scikit.image:pr_post:nonmember-scikit.image:pr_reply:nonmember" "3W: Types x Author Groups x Project" -15.6627655064543 0 0
"scikit.image:issue_post:member-scikit.image:pr_post:member" "3W: Types x Author Groups x Project" -0.119720095758161 0.904704880742532 0.929378650217328
"scikit.image:issue_post:nonmember-scikit.image:pr_post:nonmember" "3W: Types x Author Groups x Project" 4.53471880555853 0.00000576802789686859 0.0000101841742554086
"scikit.image:issue_reply:member-scikit.image:pr_reply:member" "3W: Types x Author Groups x Project" -16.8816145163241 0 0
"scikit.image:issue_reply:nonmember-scikit.image:pr_reply:nonmember" "3W: Types x Author Groups x Project" -6.73688640454515 0.0000000000161817226285166 0.0000000000397507534135299
"matplotlib:issue_post:member-matplotlib:issue_post:nonmember" "3W: Types x Author Groups x Project" -4.58207525376687 0.00000460384147582538 0.00000825768391695663
"matplotlib:issue_reply:member-matplotlib:issue_reply:nonmember" "3W: Types x Author Groups x Project" -34.2505392067966 0 0
"matplotlib:pr_post:member-matplotlib:pr_post:nonmember" "3W: Types x Author Groups x Project" -1.66504140392806 0.0959044957173474 0.123150091091594
"matplotlib:pr_reply:member-matplotlib:pr_reply:nonmember" "3W: Types x Author Groups x Project" -17.5633905908045 0 0
"matplotlib:issue_post:member-matplotlib:issue_reply:member" "3W: Types x Author Groups x Project" 0.0742430704606314 0.940816975123194 0.957768632332621
"matplotlib:issue_post:nonmember-matplotlib:issue_reply:nonmember" "3W: Types x Author Groups x Project" -14.6319357924225 0 0
"matplotlib:pr_post:member-matplotlib:pr_reply:member" "3W: Types x Author Groups x Project" -16.3566039576685 0 0
"matplotlib:pr_post:nonmember-matplotlib:pr_reply:nonmember" "3W: Types x Author Groups x Project" -17.2011768909656 0 0
"matplotlib:issue_post:member-matplotlib:pr_post:member" "3W: Types x Author Groups x Project" 3.55782132227333 0.000373943529515142 0.000578844093633027
"matplotlib:issue_post:nonmember-matplotlib:pr_post:nonmember" "3W: Types x Author Groups x Project" 6.66945304582374 0.0000000000256759058459011 0.0000000000617314332039749
"matplotlib:issue_reply:member-matplotlib:pr_reply:member" "3W: Types x Author Groups x Project" -15.9378521416965 0 0
"matplotlib:issue_reply:nonmember-matplotlib:pr_reply:nonmember" "3W: Types x Author Groups x Project" 2.24167791496162 0.0249821962463053 0.032825443905029
"mayavi:issue_post:member-mayavi:issue_post:nonmember" "3W: Types x Author Groups x Project" -5.42052284269296 0.000000059424978271494 0.000000117807413064541
"mayavi:issue_reply:member-mayavi:issue_reply:nonmember" "3W: Types x Author Groups x Project" -6.41161960347767 0.000000000143981715439168 0.000000000338956955096374
"mayavi:pr_post:member-mayavi:pr_post:nonmember" "3W: Types x Author Groups x Project" 0.159604017273702 0.873193014225939 0.905236794564506
"mayavi:pr_reply:member-mayavi:pr_reply:nonmember" "3W: Types x Author Groups x Project" 5.28600497536623 0.000000125016494711971 0.000000239438371228013
