"model" "t_stats" "p_value" "p_val_adjusted"
"member-nonmember" "Main Terms" -4.3409429506111 0.0000141872558436784 0.0000232342015990675
"issue_post-issue_reply" "Main Terms" -1.6216417437851 0.104880079118844 0.131682766004771
"pr_post-pr_reply" "Main Terms" -6.92354484374102 0.00000000000440469882789785 0.0000000000108202384250534
"issue_post-pr_post" "Main Terms" 2.33559627641934 0.0195122928421219 0.0262486796566639
"issue_reply-pr_reply" "Main Terms" -2.96543865419134 0.00302251619404714 0.00443564064840684
"issue_post:member-issue_post:nonmember" "2W: Types x Author Groups" -5.17128757173769 0.000000232486462081738 0.000000437849503587273
"issue_reply:member-issue_reply:nonmember" "2W: Types x Author Groups" -8.59652122538318 0 0
"pr_post:member-pr_post:nonmember" "2W: Types x Author Groups" -0.889628547791519 0.373665372089878 0.426506939860163
"pr_reply:member-pr_reply:nonmember" "2W: Types x Author Groups" -3.38489650181946 0.000712050972623501 0.00107282346541941
"issue_post:member-issue_reply:member" "2W: Types x Author Groups" -2.79118535346704 0.0052515389320178 0.00751169492807609
"issue_post:nonmember-issue_reply:nonmember" "2W: Types x Author Groups" -6.06952454792507 0.00000000128289490142208 0.00000000284249262471952
"pr_post:member-pr_reply:member" "2W: Types x Author Groups" -8.34978407768528 0 0
"pr_post:nonmember-pr_reply:nonmember" "2W: Types x Author Groups" -10.659537942265 0 0
"issue_post:member-pr_post:member" "2W: Types x Author Groups" 0.294306065563368 0.768524038148784 0.819275625573703
"issue_post:nonmember-pr_post:nonmember" "2W: Types x Author Groups" 4.55839786879593 0.00000515453197924565 0.00000882518354022361
"issue_reply:member-pr_reply:member" "2W: Types x Author Groups" -5.27804313371397 0.000000130570734446778 0.000000250076152415015
"issue_reply:nonmember-pr_reply:nonmember" "2W: Types x Author Groups" -0.0477275590709014 0.961933370163113 0.97052206096814
"scikit.learn:issue_post:member-scikit.learn:issue_post:nonmember" "3W: Types x Author Groups x Project" -14.525655374252 0 0
"scikit.learn:issue_reply:member-scikit.learn:issue_reply:nonmember" "3W: Types x Author Groups x Project" -28.2575581459835 0 0
"scikit.learn:pr_post:member-scikit.learn:pr_post:nonmember" "3W: Types x Author Groups x Project" -1.3839995431151 0.166358594636733 0.202134636494095
"scikit.learn:pr_reply:member-scikit.learn:pr_reply:nonmember" "3W: Types x Author Groups x Project" -10.1698031136949 0 0
