"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectpandas:typeissue_post:author_groupmember:year2010"	0.149206172328064	0.0863545858274039	488939.529551597	1.72783148571033	0.0840190721484306
"projectscikit-learn:typeissue_post:author_groupmember:year2010"	-0.00438988091420435	0.149503061456305	488669.484813504	-0.0293631506368008	0.976574973646689
"projectpandas:typeissue_reply:author_groupmember:year2010"	0.0336816422347396	0.0434590444361182	490196.780281018	0.775020313303235	0.43832803033824
"projectscikit-learn:typeissue_reply:author_groupmember:year2010"	-0.00438988091420436	0.211245992116526	488587.131353775	-0.020780895628935	0.983420446014381
"projectscikit-learn:typepr_reply:author_groupmember:year2010"	-0.00438988091420434	0.0866142570124319	488994.51561006	-0.0506831215278363	0.959578047132781
"projectpandas:typeissue_post:author_groupnonmember:year2010"	0.131967076568598	0.0517275391799802	405232.316945297	2.55119572012566	0.0107357660419827
"projectscikit-learn:typeissue_post:author_groupnonmember:year2010"	0.0686191043283197	0.0641952775393698	490578.72358155	1.06891202840017	0.285109837356128
"projectnumpy:typepr_post:author_groupnonmember:year2010"	0.110460573851241	0.0395049820274094	507144.149952693	2.79611755739065	0.00517225289173969
"projectscikit-learn:typepr_post:author_groupnonmember:year2010"	0.0244804481371456	0.0449694599134989	507523.873824249	0.544379411810482	0.586180649571907
"projectpandas:typeissue_reply:author_groupnonmember:year2010"	0.0903307786815902	0.0672637586095823	334857.439259049	1.34293385544949	0.179294302920408
"projectscikit-learn:typeissue_reply:author_groupnonmember:year2010"	0.137895308597197	0.0864491876678103	489094.068733852	1.59510242163378	0.110689980176935
"projectnumpy:typepr_reply:author_groupnonmember:year2010"	0.0942003196010157	0.0224008278885688	494520.650731628	4.20521598887362	0.0000260878755789127
"projectscikit-learn:typepr_reply:author_groupnonmember:year2010"	0.12515242482399	0.0192935363959376	504169.031622223	6.48675402246846	0.0000000000877860083266689
"projectmatplotlib:typeissue_post:author_groupmember:year2011"	0.219775786149601	0.0242020679731053	505850.664048014	9.08086806440788	0.00000000000000000010808364012371
"projectpandas:typeissue_post:author_groupmember:year2011"	0.0342061981038393	0.0129627513497032	503298.765635626	2.63880693080041	0.00832009099292718
"projectscikit-image:typeissue_post:author_groupmember:year2011"	0.0775734583722542	0.149311063768282	488629.530704196	0.519542600624971	0.603382648848555
"projectscikit-learn:typeissue_post:author_groupmember:year2011"	0.0392043496050705	0.0239610058690424	493622.809878298	1.63617294780277	0.101804033975664
"projectmatplotlib:typepr_post:author_groupmember:year2011"	0.093808327750142	0.0175578340771318	497880.703455509	5.34281889998736	0.0000000915522184139808
"projectnumpy:typepr_post:author_groupmember:year2011"	0.0693307699747273	0.0294522421728784	493233.159726426	2.35400651562521	0.0185726754966526
"projectpandas:typepr_post:author_groupmember:year2011"	0.0703224508146848	0.0615270046378932	489708.567005851	1.14295261452359	0.253058824390434
"projectscikit-image:typepr_post:author_groupmember:year2011"	0.061600172283044	0.0487099328296006	489783.240341212	1.26463266739736	0.206003638778714
"projectscikit-learn:typepr_post:author_groupmember:year2011"	0.0625361568198702	0.018813031962677	496078.999678635	3.32408709791889	0.000887149072954717
"projectscipy:typepr_post:author_groupmember:year2011"	0.0310455797931383	0.0586520036007433	489287.239954436	0.52931831629269	0.596584891757588
"projectmatplotlib:typeissue_reply:author_groupmember:year2011"	0.116454403460952	0.014982117470122	501240.476100776	7.77289349741057	0.00000000000000768576206246813
"projectpandas:typeissue_reply:author_groupmember:year2011"	0.0833649611037569	0.0113079261993483	505940.433933479	7.37225903619371	0.00000000000016801462229728
"projectscikit-image:typeissue_reply:author_groupmember:year2011"	0.0600916055818959	0.056558397131687	489417.84688181	1.06247009514754	0.288022851309616
"projectscikit-learn:typeissue_reply:author_groupmember:year2011"	0.115283652674836	0.00973463863961655	507281.733252479	11.8426227148969	0.0000000000000000000000000000000237308839344444
"projectmatplotlib:typepr_reply:author_groupmember:year2011"	0.141301463216718	0.0116722857824005	505540.789341363	12.1057234076441	0.000000000000000000000000000000000995630265863307
"projectnumpy:typepr_reply:author_groupmember:year2011"	0.095843364436274	0.0118300265447182	504737.777230051	8.10170324419648	0.00000000000000054314279838451
"projectpandas:typepr_reply:author_groupmember:year2011"	0.311504597269968	0.0207650647695633	495411.980300684	15.0013785522384	0.00000000000000000000000000000000000000000000000000737876961507881
"projectscikit-image:typepr_reply:author_groupmember:year2011"	0.219181533472919	0.0345135130140543	491171.136670245	6.35060051359205	0.000000000214662362640635
"projectscikit-learn:typepr_reply:author_groupmember:year2011"	0.138967249952932	0.00570240382850998	466478.112784122	24.3699418933022	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000430724390051981
"projectscipy:typepr_reply:author_groupmember:year2011"	0.152164381917083	0.0160711950338062	497608.707322144	9.46814356972216	0.00000000000000000000286039067851082
"projectmatplotlib:typeissue_post:author_groupnonmember:year2011"	0.089080084555855	0.0226288303002177	443399.943917944	3.93657486374795	0.0000826654494836284
"projectmayavi:typeissue_post:author_groupnonmember:year2011"	0.165767430229714	0.0516370540889496	392100.001174854	3.2102418148054	0.00132634028698889
"projectpandas:typeissue_post:author_groupnonmember:year2011"	0.125095982418509	0.019510679374072	451433.221790677	6.41166717058302	0.000000000144078066612636
"projectscikit-image:typeissue_post:author_groupnonmember:year2011"	0.139801948559429	0.0704553839225709	489160.072340352	1.98426210710979	0.0472271859834153
"projectscikit-learn:typeissue_post:author_groupnonmember:year2011"	0.109324392489048	0.0230846391566025	480246.165032323	4.73580686045852	0.00000218247449781502
"projectmatplotlib:typepr_post:author_groupnonmember:year2011"	0.0933005443037663	0.0175905105053191	507613.60792878	5.30402709321901	0.000000113322746822726
"projectmayavi:typepr_post:author_groupnonmember:year2011"	0.114324872356129	0.127871548701925	480764.73499831	0.894060277807582	0.371290088407767
"projectnumpy:typepr_post:author_groupnonmember:year2011"	0.0683844462917884	0.023040013176495	497042.777187909	2.96807322842823	0.00299687205277402
"projectpandas:typepr_post:author_groupnonmember:year2011"	0.0944877438102443	0.0292211362613185	504981.612960891	3.23354105621561	0.00122273610846312
"projectscikit-image:typepr_post:author_groupnonmember:year2011"	0.0783867155050614	0.0257785464118114	504607.898433717	3.04077329469383	0.00235983527729822
"projectscikit-learn:typepr_post:author_groupnonmember:year2011"	0.0799879628526139	0.0165767046176974	497924.542757	4.82532353066232	0.00000139817447596114
