"stat" "p_value" "model" "p_val_adjusted"
"pr-issue" 5.54215957421276 0.0000000298763846995342 "pr-issue" 0.0000000821600579237192
"open_time" -0.974557339037883 0.329779883758763 "open_time" 0.381850391720673
"comment_grateful_cumulative" 6.72249903692325 0.0000000000178633919245734 "comment_grateful_cumulative" 0.0000000000785989244681232
"comment_sentiment_max_negative" 1.36688282838293 0.171662035144497 "comment_sentiment_max_negative" 0.222150869010526
"comment_sentiment_max_positive" 10.8645971258058 0.00000000000000000000000000169971719067617 "comment_sentiment_max_positive" 0.0000000000000000000000000373937781948757
"number_of_comments" 9.33817786981099 0.00000000000000000000980061716824498 "number_of_comments" 0.000000000000000000107806788850695
"comment_member_ratio" -8.34363861584085 0.0000000000000000720389109697531 "comment_member_ratio" 0.000000000000000396214010333642
"comment_sentiment_mean" 6.34231653792037 0.000000000226335667548611 "comment_sentiment_mean" 0.000000000711340669438492
"ticket_familyissue:open_time" 3.59613472904788 0.000322980566347567 "ticket_familyissue:open_time" 0.000507540889974747
"ticket_familypr:open_time" -2.90265829620077 0.00370010112135485 "ticket_familypr:open_time" 0.00508763904186292
"ticket_familyissue:comment_sentiment_max_negative" -1.27552783813243 0.202122477336641 "ticket_familyissue:comment_sentiment_max_negative" 0.24703858341145
"ticket_familypr:comment_sentiment_max_negative" 3.87245748618942 0.000107743473892824 "ticket_familypr:comment_sentiment_max_negative" 0.000182335109664779
"ticket_familyissue:comment_sentiment_max_positive" 5.3005930364907 0.000000115427126170082 "ticket_familyissue:comment_sentiment_max_positive" 0.000000282155197304644
"ticket_familypr:comment_sentiment_max_positive" 0.394956686689822 0.692874853711923 "ticket_familypr:comment_sentiment_max_positive" 0.725868894364872
"ticket_familyissue:number_of_comments" 4.01159957724027 0.0000603087291767784 "ticket_familyissue:number_of_comments" 0.00011056600349076
"ticket_familypr:number_of_comments" 6.53490847960629 0.0000000000636484502155372 "ticket_familypr:number_of_comments" 0.000000000233377650790303
"ticket_familyissue:comment_member_ratio" -4.28059092634482 0.0000186397709995601 "ticket_familyissue:comment_member_ratio" 0.0000372795419991203
"ticket_familypr:comment_member_ratio" -8.93657879032061 0.000000000000000000401404926153559 "ticket_familypr:comment_member_ratio" 0.0000000000000000029436361251261
"ticket_familyissue:comment_sentiment_mean" 4.38667314072805 0.0000115097551089714 "ticket_familyissue:comment_sentiment_mean" 0.0000253214612397371
"ticket_familypr:comment_sentiment_mean" -0.823909710868125 0.409990862280356 "ticket_familypr:comment_sentiment_mean" 0.450989948508392
"ticket_familyissue:comment_grateful_cumulative" 0.0585577227852563 0.953304385195186 "ticket_familyissue:comment_grateful_cumulative" 0.953304385195186
"ticket_familypr:comment_grateful_cumulative" 3.01073499267551 0.00260616198989264 "ticket_familypr:comment_grateful_cumulative" 0.00382237091850921
