"t_stats" "p_value" "p_val_adjusted"
"issue_post:nonmember:sphinx-galleryTRUE:year2014-issue_post:nonmember:sphinx-galleryFALSE:year2014" 1.37388715618864 0.169476717606099 0.38320568925379
"pr_post:nonmember:sphinx-galleryTRUE:year2014-pr_post:nonmember:sphinx-galleryFALSE:year2014" 1.72122464808849 0.0852100667947908 0.235921749561088
"issue_reply:nonmember:sphinx-galleryTRUE:year2014-issue_reply:nonmember:sphinx-galleryFALSE:year2014" 0.109830894923759 0.912543488651626 0.94265279157668
"pr_reply:nonmember:sphinx-galleryTRUE:year2014-pr_reply:nonmember:sphinx-galleryFALSE:year2014" -0.221733519255029 0.824521334961449 0.90560580221671
"issue_post:member:sphinx-galleryTRUE:year2015-issue_post:member:sphinx-galleryFALSE:year2015" -0.941677274910751 0.346357893216 0.561624153541483
"pr_post:member:sphinx-galleryTRUE:year2015-pr_post:member:sphinx-galleryFALSE:year2015" 1.49122274360976 0.135903024343121 0.333208017515966
"issue_reply:member:sphinx-galleryTRUE:year2015-issue_reply:member:sphinx-galleryFALSE:year2015" 0.0612801093460722 0.951136131469058 0.96536759478281
"pr_reply:member:sphinx-galleryTRUE:year2015-pr_reply:member:sphinx-galleryFALSE:year2015" 0.653098714363943 0.513692641051155 0.713559402415768
"issue_post:nonmember:sphinx-galleryTRUE:year2015-issue_post:nonmember:sphinx-galleryFALSE:year2015" 0.0632299802081336 0.949583371783604 0.96536759478281
"pr_post:nonmember:sphinx-galleryTRUE:year2015-pr_post:nonmember:sphinx-galleryFALSE:year2015" 1.44394350174177 0.148754868538989 0.356726704814855
"issue_reply:nonmember:sphinx-galleryTRUE:year2015-issue_reply:nonmember:sphinx-galleryFALSE:year2015" -0.592957896576836 0.553209329808577 0.740645385631877
"pr_reply:nonmember:sphinx-galleryTRUE:year2015-pr_reply:nonmember:sphinx-galleryFALSE:year2015" 1.53326957124801 0.125209448722178 0.314569417468683
"issue_post:member:sphinx-galleryTRUE:year2016-issue_post:member:sphinx-galleryFALSE:year2016" -1.94684102489284 0.0515537968557469 0.167859162562312
"pr_post:member:sphinx-galleryTRUE:year2016-pr_post:member:sphinx-galleryFALSE:year2016" -0.156105565354364 0.875949811627996 0.921218535743138
"issue_reply:member:sphinx-galleryTRUE:year2016-issue_reply:member:sphinx-galleryFALSE:year2016" 1.83872944537609 0.0659549902107295 0.200325977729604
"pr_reply:member:sphinx-galleryTRUE:year2016-pr_reply:member:sphinx-galleryFALSE:year2016" -0.3600105316303 0.718839257802426 0.852165962789652
"issue_post:nonmember:sphinx-galleryTRUE:year2016-issue_post:nonmember:sphinx-galleryFALSE:year2016" -0.980044294855898 0.327064254348311 0.544926320522398
"pr_post:nonmember:sphinx-galleryTRUE:year2016-pr_post:nonmember:sphinx-galleryFALSE:year2016" -0.17399165464757 0.861872020824002 0.915459075083606
"issue_reply:nonmember:sphinx-galleryTRUE:year2016-issue_reply:nonmember:sphinx-galleryFALSE:year2016" 0.549161497646457 0.582894624604299 0.765284232948225
"pr_reply:nonmember:sphinx-galleryTRUE:year2016-pr_reply:nonmember:sphinx-galleryFALSE:year2016" -0.405757602044039 0.684920713856232 0.832127553849213
"issue_post:member:sphinx-galleryTRUE:year2018-issue_post:member:sphinx-galleryFALSE:year2018" 1.6840140431818 0.0921789547856011 0.250112230651598
"pr_post:member:sphinx-galleryTRUE:year2018-pr_post:member:sphinx-galleryFALSE:year2018" 0.239345158565603 0.810837951302712 0.90560580221671
"issue_reply:member:sphinx-galleryTRUE:year2018-issue_reply:member:sphinx-galleryFALSE:year2018" 3.6846503443631 0.000229016813602323 0.00266313837531844
"pr_reply:member:sphinx-galleryTRUE:year2018-pr_reply:member:sphinx-galleryFALSE:year2018" 2.37999343090068 0.0173129466826776 0.0838853488077354
"issue_post:nonmember:sphinx-galleryTRUE:year2018-issue_post:nonmember:sphinx-galleryFALSE:year2018" -1.74340066559905 0.0812636521267178 0.226536345312152
"pr_post:nonmember:sphinx-galleryTRUE:year2018-pr_post:nonmember:sphinx-galleryFALSE:year2018" 0.743869713256585 0.456955299840609 0.663747002287915
"issue_reply:nonmember:sphinx-galleryTRUE:year2018-issue_reply:nonmember:sphinx-galleryFALSE:year2018" 2.0979706327003 0.035907739678438 0.135720021656296
"pr_reply:nonmember:sphinx-galleryTRUE:year2018-pr_reply:nonmember:sphinx-galleryFALSE:year2018" 0.61092768981863 0.541247452526279 0.73515072973939
"issue_post:nonmember:mayaviTRUE:year2011-issue_post:nonmember:mayaviFALSE:year2011" -0.725464209704112 0.468167293911838 0.67330066650925
"pr_post:nonmember:mayaviTRUE:year2011-pr_post:nonmember:mayaviFALSE:year2011" -1.26454727189576 0.206033664835089 0.411057360724909
"issue_reply:nonmember:mayaviTRUE:year2011-issue_reply:nonmember:mayaviFALSE:year2011" -2.52292149577177 0.0116384379815946 0.0652516717888607
"pr_reply:nonmember:mayaviTRUE:year2011-pr_reply:nonmember:mayaviFALSE:year2011" 0.907532484096407 0.364125279435147 0.57797558611071
"issue_post:nonmember:mayaviTRUE:year2012-issue_post:nonmember:mayaviFALSE:year2012" -0.43256733417962 0.665329124989542 0.813243830189848
"pr_post:nonmember:mayaviTRUE:year2012-pr_post:nonmember:mayaviFALSE:year2012" -1.21714590843467 0.223548706334036 0.427482743220489
"issue_reply:nonmember:mayaviTRUE:year2012-issue_reply:nonmember:mayaviFALSE:year2012" -2.08457444938647 0.0371079457759835 0.136314052576409
"pr_reply:nonmember:mayaviTRUE:year2012-pr_reply:nonmember:mayaviFALSE:year2012" 0.215150639734083 0.829649873450378 0.90560580221671
"issue_post:nonmember:mayaviTRUE:year2013-issue_post:nonmember:mayaviFALSE:year2013" 2.24950247135999 0.0244805457645076 0.103787313814111
"pr_post:nonmember:mayaviTRUE:year2013-pr_post:nonmember:mayaviFALSE:year2013" -1.19742286950196 0.23114177418644 0.435531028212413
"issue_reply:nonmember:mayaviTRUE:year2013-issue_reply:nonmember:mayaviFALSE:year2013" -1.12799337185213 0.259322718374659 0.479747028993119
"pr_reply:nonmember:mayaviTRUE:year2013-pr_reply:nonmember:mayaviFALSE:year2013" 0.669985209388054 0.502867218871994 0.703807242536636
"pr_post:member:mayaviTRUE:year2014-pr_post:member:mayaviFALSE:year2014" -1.50091495941523 0.133377558447813 0.331004062733293
"issue_reply:member:mayaviTRUE:year2014-issue_reply:member:mayaviFALSE:year2014" -1.27833064315803 0.201132867559915 0.409030195483094
"pr_reply:member:mayaviTRUE:year2014-pr_reply:member:mayaviFALSE:year2014" -1.00536109738783 0.314723005160296 0.533166701273208
"issue_post:nonmember:mayaviTRUE:year2014-issue_post:nonmember:mayaviFALSE:year2014" 0.511468843313414 0.609022799736446 0.779903472682896
"pr_post:nonmember:mayaviTRUE:year2014-pr_post:nonmember:mayaviFALSE:year2014" -0.960092225944046 0.337008800714614 0.550853742533526
"issue_reply:nonmember:mayaviTRUE:year2014-issue_reply:nonmember:mayaviFALSE:year2014" 0.252403862457696 0.800728914968422 0.902760854271877
